date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:30	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2009:10:38%20GMT	https://pginbangalore.com/ABCPG/faq.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/faq.html	(from https://pginbangalore.com/ABCPG/)
14:40:31	89501/89501	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:31:15%20GMT	https://pginbangalore.com/ABCPG/assets/js/jquery-3.6.0.min.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/jquery-3.6.0.min.js	(from https://pginbangalore.com/ABCPG/)
14:40:31	59219/59219	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:30:48%20GMT	https://pginbangalore.com/ABCPG/assets/js/bootstrap.min.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/bootstrap.min.js	(from https://pginbangalore.com/ABCPG/)
14:40:31	68253/68253	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:31:09%20GMT	https://pginbangalore.com/ABCPG/assets/js/jquery.fancybox.min.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/jquery.fancybox.min.js	(from https://pginbangalore.com/ABCPG/)
14:40:31	18396/18396	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:31:25%20GMT	https://pginbangalore.com/ABCPG/assets/js/splitText.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/splitText.js	(from https://pginbangalore.com/ABCPG/)
14:40:32	52453/52453	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:31:20%20GMT	https://pginbangalore.com/ABCPG/assets/js/scrolltrigger.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/scrolltrigger.js	(from https://pginbangalore.com/ABCPG/)
14:40:32	5123/5123	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:30:54%20GMT	https://pginbangalore.com/ABCPG/assets/js/custom.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/custom.js	(from https://pginbangalore.com/ABCPG/)
14:40:32	87604/87604	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:31:04%20GMT	https://pginbangalore.com/ABCPG/assets/js/gsap.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/gsap.js	(from https://pginbangalore.com/ABCPG/)
14:40:33	40808/40808	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:31:29%20GMT	https://pginbangalore.com/ABCPG/assets/js/sweetalert.min.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/sweetalert.min.js	(from https://pginbangalore.com/ABCPG/)
14:40:34	1980/1980	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2012:30:59%20GMT	https://pginbangalore.com/ABCPG/assets/js/contact.js	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/js/contact.js	(from https://pginbangalore.com/ABCPG/)
